fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
13071,Colquitt,15891,10482,19,19,None,99,16087,99%,99% reported,edison,10,unknown,,9626,,,11644,3990,257,,7430,2904,148,,2021-01-12T21:59:56Z,48.16563,R+48,Perdue +48,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13073,Columbia,79907,61020,47,47,Merged into voters' home precincts and released with cumulative results,99,80620,99%,99% reported,edison,10,unknown,,44339,,,50220,27759,1928,,36879,22895,1246,,2021-01-12T22:00:07Z,28.10893,R+28,Perdue +28,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13075,Cook,6972,5305,8,8,Released as a separate subtotal as first report of the night,99,7037,99%,99% reported,edison,10,unknown,,5070,,,4864,1963,145,,3760,1441,104,,2021-01-12T22:00:20Z,41.60929,R+42,Perdue +42,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13077,Coweta,76122,52012,26,26,None,99,76845,99%,99% reported,edison,10,unknown,,37867,,,51299,22915,1908,,33191,17704,1117,,2021-01-12T22:00:32Z,37.28751,R+37,Perdue +37,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13079,Crawford,6026,4597,6,6,Released as a separate subtotal as first report of the night,99,6102,99%,99% reported,edison,10,unknown,,4342,,,4330,1561,135,,3203,1298,96,,2021-01-13T16:49:51Z,45.95088,R+46,Perdue +46,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13081,Crisp,7980,6411,5,5,None,99,8036,99%,99% reported,edison,10,unknown,,6558,,,5054,2809,105,12,4070,2260,72,9,2021-03-07T03:06:33Z,28.13283,R+28,Perdue +28,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13083,Dade,7332,5042,7,7,Merged into voters' home precincts and released with cumulative results,98,7447,98%,98% reported,edison,10,all,,4573,,,5871,1253,208,,3924,980,138,,2021-03-06T23:21:08Z,62.98418,R+63,Perdue +63,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13085,Dawson,15924,13278,3,3,Released as a separate subtotal as first report of the night,99,16084,99%,99% reported,edison,10,unknown,,10581,,,13217,2289,418,,10936,2037,305,,2021-01-12T22:01:10Z,68.62597,R+69,Perdue +69,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13089,DeKalb,367643,319141,191,191,Released with cumulative results periodically election night,99,370877,99%,99% reported,edison,10,unknown,,261315,,,61859,298479,7305,,49426,264195,5520,,2021-01-12T22:01:36Z,64.36135,D+64,Ossoff +64,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13087,Decatur,11449,9169,9,9,Merged into voters' home precincts and released with cumulative results,98,11628,98%,98% reported,edison,10,unknown,,9618,,,6696,4563,190,,5242,3780,147,,2021-01-13T16:50:05Z,18.63045,R+19,Perdue +19,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13091,Dodge,7952,5062,16,16,Released as a precinct as first report of the night,99,8072,99%,99% reported,edison,10,unknown,,5826,,,5793,2021,138,0,3482,1490,90,0,2021-03-07T03:06:36Z,47.43461,R+47,Perdue +47,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13093,Dooly,4059,3103,5,5,Released as a precinct as first report of the night,99,4106,99%,99% reported,edison,10,unknown,,3453,,,2158,1826,75,,1688,1364,51,,2021-01-12T22:02:07Z,8.17935,R+8,Perdue +8,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13095,Dougherty,34911,23105,28,28,None,99,35290,99%,99% reported,edison,10,unknown,,27832,,,10588,23821,502,0,6289,16537,279,0,2021-01-13T16:50:27Z,37.90496,D+38,Ossoff +38,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13097,Douglas,68441,57320,25,25,Merged into voters' home precincts and released with cumulative results,99,69139,99%,99% reported,edison,10,unknown,,54542,,,25002,41796,1643,,20321,35815,1184,,2021-01-13T16:56:17Z,24.53792,D+25,Ossoff +25,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13099,Early,5105,3661,5,5,Other,98,5188,98%,98% reported,edison,10,all,,3645,,,2796,2232,77,,1976,1637,48,,2021-03-07T03:06:47Z,11.04799,R+11,Perdue +11,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13101,Echols,1418,1161,1,1,None,98,1442,98%,98% reported,edison,10,unknown,,886,,,1232,162,24,,1011,131,19,,2021-01-12T22:02:41Z,75.45839,R+75,Perdue +75,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13103,Effingham,31319,21961,17,17,Merged into voters' home precincts and released with cumulative results,99,31579,99%,99% reported,edison,10,unknown,,15051,,,22832,7627,828,32,15649,5837,475,0,2021-01-12T22:02:54Z,48.5488,R+49,Perdue +49,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13105,Elbert,9075,6695,11,11,None,99,9176,99%,99% reported,edison,10,unknown,,7709,,,6225,2717,133,0,4389,2217,89,0,2021-01-13T17:08:22Z,38.65565,R+39,Perdue +39,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13107,Emanuel,9368,5992,11,11,Released as a precinct as first report of the night,99,9507,99%,99% reported,edison,10,unknown,,5450,,,6513,2720,135,0,4002,1906,84,0,2021-01-12T22:03:16Z,40.4889,R+40,Perdue +40,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13109,Evans,4191,3485,1,1,Released as a precinct as first report of the night,99,4248,99%,99% reported,edison,10,unknown,,3528,,,2876,1251,64,,2413,1024,48,,2021-01-12T22:03:28Z,38.77356,R+39,Perdue +39,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13111,Fannin,14686,10098,12,12,Released as a precinct at the end of tabulation,99,14849,99%,99% reported,edison,10,unknown,,7570,,,11972,2415,299,,7882,2032,184,,2020-12-04T23:41:46Z,65.07558,R+65,Perdue +65,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13113,Fayette,71470,61288,36,36,Other,99,72012,99%,99% reported,edison,10,unknown,,60498,,,38403,31477,1590,,32017,28069,1202,,2021-01-12T22:03:40Z,9.69078,R+10,Perdue +10,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13115,Floyd,41288,30904,25,25,None,100,41365,100%,100% reported,edison,10,unknown,,25280,,,28752,11480,1056,,20930,9270,704,,2021-01-12T22:03:51Z,41.83298,R+42,Perdue +42,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13117,Forsyth,128267,114715,20,20,Released as a separate subtotal in the middle of the tabulation,99,129377,99%,99% reported,edison,10,unknown,,77750,,,85652,39229,3386,,76037,35962,2716,,2021-01-12T22:04:08Z,36.19247,R+36,Perdue +36,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
