fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
17163,St. Clair,126941,0,190,190,None,99,128091,99%,99% reported,edison,10,unknown,,32130,,,66801,55898,1832,1221,1189,0,0,0,0,0,0,0,2021-01-26T19:10:41Z,8.58903,D+9,Durbin +9,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17175,Stark,2827,0,10,10,Released as a precinct at the end of tabulation,98,2883,98%,98% reported,edison,10,unknown,,509,,,843,1894,46,20,24,0,0,0,0,0,0,0,2021-01-26T19:11:12Z,37.17722,R+37,Curran +37,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17177,Stephenson,21798,0,40,40,Merged into voters' home precincts and released with cumulative results,99,22048,99%,99% reported,edison,10,unknown,,6222,,,9043,11954,336,294,171,0,0,0,0,0,0,0,2021-01-26T19:11:18Z,13.35444,R+13,Curran +13,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17179,Tazewell,68437,0,109,109,Other,99,69052,99%,99% reported,edison,10,unknown,,12110,,,25380,40429,1557,467,604,0,0,0,0,0,0,0,2021-01-26T19:11:26Z,21.98957,R+22,Curran +22,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17181,Union,8797,0,20,20,Merged into voters' home precincts and released with cumulative results,99,8886,99%,99% reported,edison,10,all,,2005,,,3102,5465,92,51,87,0,0,0,0,0,0,0,2021-01-26T19:11:32Z,26.86143,R+27,Curran +27,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17183,Vermilion,31325,0,55,55,Merged into voters' home precincts and released with cumulative results,99,31584,99%,99% reported,edison,10,unknown,,4752,,,11375,18751,388,493,318,0,0,0,0,0,0,0,2021-01-26T19:11:38Z,23.54669,R+24,Curran +24,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17185,Wabash,5487,0,16,16,None,98,5593,98%,98% reported,edison,10,unknown,,1834,,,1276,4078,84,29,20,0,0,0,0,0,0,0,2021-01-26T19:11:45Z,51.06616,R+51,Curran +51,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17187,Warren,7797,0,29,29,None,99,7909,99%,99% reported,edison,10,unknown,,2038,,,3049,4552,96,53,47,0,0,0,0,0,0,0,2021-01-26T19:11:51Z,19.27664,R+19,Curran +19,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17189,Washington,7766,0,20,20,None,98,7902,98%,98% reported,edison,10,some,,987,,,1914,5671,92,53,36,0,0,0,0,0,0,0,2021-01-26T19:11:57Z,48.37754,R+48,Curran +48,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17191,Wayne,8307,0,27,27,None,98,8486,98%,98% reported,edison,10,some,,1717,,,1401,6708,94,53,51,0,0,0,0,0,0,0,2021-01-26T19:12:04Z,63.88588,R+64,Curran +64,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17193,White,7269,0,18,18,Merged into voters' home precincts and released with cumulative results,98,7421,98%,98% reported,edison,10,unknown,,1565,,,1686,5400,88,51,44,0,0,0,0,0,0,0,2021-01-26T19:12:11Z,51.09369,R+51,Curran +51,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17195,Whiteside,26992,0,60,60,Merged into voters' home precincts and released with cumulative results,99,27375,99%,99% reported,edison,10,unknown,,8002,,,12502,13502,414,312,262,0,0,0,0,0,0,0,2021-01-26T19:12:17Z,3.7048,R+4,Curran +4,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17197,Will,341858,204083,304,304,Merged into voters' home precincts and released with cumulative results,99,345105,99%,99% reported,edison,10,some,,87251,,,175089,144816,4378,14585,2990,0,119184,74484,1834,7057,1524,0,2021-01-26T19:30:22Z,8.85543,D+9,Durbin +9,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17199,Williamson,33116,0,65,65,Merged into voters' home precincts and released with cumulative results,98,33653,98%,98% reported,edison,10,some,,7586,,,11473,20679,418,275,271,0,0,0,0,0,0,0,2021-01-26T19:12:23Z,27.79925,R+28,Curran +28,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17201,Winnebago,126388,0,103,103,Merged into voters' home precincts and released with cumulative results,99,127709,99%,99% reported,edison,10,unknown,,21891,,,61182,60473,1799,1542,1392,0,0,0,0,0,0,0,2021-01-26T19:12:29Z,0.56097,D+0.56,Durbin +0.56,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17203,Woodford,21137,0,45,45,None,99,21432,99%,99% reported,edison,10,unknown,,3278,,,6276,14174,373,169,145,0,0,0,0,0,0,0,2021-01-26T19:12:34Z,37.36576,R+37,Curran +37,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
