fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_carrollb,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
17089,Kane,231876,183439,291,291,None,100,220744,100%,100% reported,edison,6,unknown,,93112,,,130166,96775,2878,1201,543,300,13,108918,71218,1890,835,388,182,8,2020-11-24T13:23:09Z,14.40037,D+14,Biden +14,democrat,bidenj,-14.40037,199687,-10.5,181648,-1.1,illinois,2021-01-04T11:36:42.359396Z
17091,Kankakee,50039,0,64,64,None,100,47156,100%,100% reported,edison,4,unknown,,21168,,,20271,28532,804,191,60,44,137,0,0,0,0,0,0,0,2020-12-04T20:13:22Z,16.50912,R+17,Trump +17,republican,trumpd,16.50912,47305,13,45509,3.39,illinois,2021-01-04T11:36:42.359396Z
17093,Kendall,64205,37347,87,87,None,100,59861,100%,100% reported,edison,2,unknown,,13923,,,33168,29492,810,334,102,65,234,22309,14337,345,170,50,30,106,2020-11-24T13:23:14Z,5.72541,D+6,Biden +6,democrat,bidenj,-5.72541,54055,0.1,47295,3.33,illinois,2021-01-04T11:36:42.359396Z
17095,Knox,23205,0,31,31,None,92,25236,92%,92% reported,edison,2,unknown,,6554,,,10703,12009,258,115,22,36,62,0,0,0,0,0,0,0,2020-12-04T19:52:20Z,5.6281,R+6,Trump +6,republican,trumpd,5.6281,22503,2.9,23278,-17.37,illinois,2021-01-04T11:36:42.359396Z
17099,LaSalle,53683,0,119,119,Merged into voters' home precincts and released with cumulative results,99,54372,99%,99% reported,edison,2,unknown,,7973,,,22442,30113,675,255,51,54,93,0,0,0,0,0,0,0,2020-12-08T17:44:45Z,14.28944,R+14,Trump +14,republican,trumpd,14.28944,49743,14.4,47259,0.39,illinois,2021-01-04T11:36:42.359396Z
17097,Lake,334156,59287,415,415,None,100,334925,100%,100% reported,edison,4,unknown,,165277,,,204032,123594,4160,1441,553,376,0,47586,10876,519,194,71,41,0,2020-12-08T16:31:05Z,24.07199,D+24,Biden +24,democrat,bidenj,-24.07199,303520,-20.2,287493,-8.35,illinois,2021-01-04T11:36:42.359396Z
17101,Lawrence,6422,0,21,22,None,96,6688,96%,96% reported,edison,4,none,,920,,,1419,4886,82,19,2,3,11,0,0,0,0,0,0,0,2020-12-08T17:39:35Z,53.9863,R+54,Trump +54,republican,trumpd,53.9863,6094,53,5989,30.82,illinois,2021-01-04T11:36:42.359396Z
17103,Lee,16440,0,47,49,Merged into voters' home precincts and released with cumulative results,97,16895,97%,97% reported,edison,2,unknown,,4965,,,6407,9630,229,97,22,12,43,0,0,0,0,0,0,0,2020-12-08T17:45:01Z,19.60462,R+20,Trump +20,republican,trumpd,19.60462,15489,19.9,15301,7.33,illinois,2021-01-04T11:36:42.359396Z
17105,Livingston,17174,0,47,47,None,100,5933,100%,100% reported,edison,6,unknown,,4304,,,4615,12208,244,73,22,12,0,0,0,0,0,0,0,0,2020-12-08T17:45:09Z,44.21218,R+44,Trump +44,republican,trumpd,44.21218,15342,40.3,15039,31.47,illinois,2021-01-04T11:36:42.359396Z
17107,Logan,13294,0,28,29,Merged into voters' home precincts and released with cumulative results,100,13117,100%,100% reported,edison,6,all,,3994,,,3840,9136,211,66,27,14,0,0,0,0,0,0,0,0,2020-12-04T19:39:57Z,39.83752,R+40,Trump +40,republican,trumpd,39.83752,12401,39.3,12053,32.08,illinois,2021-01-04T11:36:42.359396Z
17115,Macon,49387,0,66,72,Merged into voters' home precincts AFTER election night,100,45131,100%,100% reported,edison,6,unknown,,14264,,,19847,28589,597,211,84,59,0,0,0,0,0,0,0,0,2020-12-08T16:27:30Z,17.70101,R+18,Trump +18,republican,trumpd,17.70101,48060,17.7,48899,5.17,illinois,2021-01-04T11:36:42.359396Z
